#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc
,Team,,0,0,0,0,0,2,5,7,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,Maccabi Ramat Gan,A
7,Arad Harari,,12,3,0,100,0,1,0,1,1,0,0,0,2,0,0,0,5,-4,0,0,1,1,0,0,Maccabi Ramat Gan,A
12,Storm Warren,*,17,4,25,0,0,3,2,5,3,0,0,4,0,1,0,0,-3,-2,2,8,0,0,0,0,Maccabi Ramat Gan,A
15,Amiad Yanai,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi Ramat Gan,A
19,Joe Alexander,,17,6,100,0,0,2,2,4,3,2,0,1,3,0,0,0,8,3,3,3,0,1,0,2,Maccabi Ramat Gan,A
21,Adi Cohen Saban,,18,6,50,0,50,2,0,2,5,2,0,0,4,0,1,0,4,-6,2,4,0,0,2,4,Maccabi Ramat Gan,A
23,Afek Amsalem,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,Maccabi Ramat Gan,A
24,Oz Blayzer,*,30,11,0,43,100,5,2,7,5,1,1,2,2,0,0,0,9,-8,0,2,3,7,2,2,Maccabi Ramat Gan,A
33,Gabriel Chachashvili,*,34,9,80,0,50,6,3,9,1,2,0,0,0,1,0,0,18,-6,4,5,0,0,1,2,Maccabi Ramat Gan,A
45,Eylon Poleg,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Maccabi Ramat Gan,A
50,Yovel Zoosman,*,32,11,50,17,100,7,1,8,2,7,4,10,4,0,1,1,14,-8,2,4,1,6,4,4,Maccabi Ramat Gan,A
80,Or Cornelius,*,37,23,40,22,100,3,2,5,2,6,1,4,1,0,0,0,17,-3,4,10,2,9,9,9,Maccabi Ramat Gan,A
,Total,,200,73,47,29,78,31,17,48,23,20,6,23,16,2,2,1,76,0,17,36,7,24,18,23,Maccabi Ramat Gan,A
,Team,,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,-2,0,0,0,0,0,0,0,Hapoel Afula,A
7,Arad Harari,,23,9,50,0,100,4,0,4,3,3,0,3,1,0,0,0,8,-25,2,4,0,1,5,5,Hapoel Afula,A
12,Storm Warren,,17,4,25,0,0,1,3,4,3,1,2,0,0,0,0,2,0,-27,2,8,0,0,0,2,Hapoel Afula,A
15,Amiad Yanai,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,Hapoel Afula,A
19,Joe Alexander,*,22,2,25,0,0,1,0,1,5,0,0,0,1,1,0,0,-4,-24,1,4,0,1,0,0,Hapoel Afula,A
21,Adi Cohen Saban,*,16,2,33,0,0,1,0,1,1,0,1,3,3,0,0,0,1,-27,1,3,0,0,0,0,Hapoel Afula,A
23,Afek Amsalem,,14,6,75,0,0,1,0,1,0,0,2,2,0,0,0,0,5,-22,3,4,0,1,0,0,Hapoel Afula,A
24,Oz Blayzer,,24,15,50,33,100,4,4,8,2,3,0,2,1,0,0,0,16,-15,3,6,2,6,3,3,Hapoel Afula,A
25,Nir Peri,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel Afula,A
33,Gabriel Chachashvili,*,16,6,50,0,0,1,2,3,3,2,1,2,0,1,0,1,4,-9,3,6,0,0,0,1,Hapoel Afula,A
45,Eylon Poleg,,22,6,60,0,0,2,0,2,3,1,0,2,0,0,0,0,1,-33,3,5,0,1,0,0,Hapoel Afula,A
50,Yovel Zoosman,*,21,8,50,33,75,4,2,6,1,3,3,4,3,0,0,0,14,-12,1,2,1,3,3,4,Hapoel Afula,A
80,Or Cornelius,*,18,7,20,0,83,2,1,3,2,3,2,4,1,0,0,0,3,-9,1,5,0,2,5,6,Hapoel Afula,A
,Total,,200,65,43,19,76,21,13,34,23,16,11,25,11,2,0,3,46,0,20,47,3,16,16,21,Hapoel Afula,A
,Team,,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Galil Elion,H
4,Chris Johnson,,18,9,50,50,100,3,2,5,2,1,0,0,2,1,0,0,13,1,2,4,1,2,2,2,Galil Elion,H
20,Levi Randolph,*,31,19,50,38,0,2,0,2,1,3,2,4,6,0,0,0,17,11,5,10,3,8,0,0,Galil Elion,H
21,Adi Cohen Saban,,8,0,0,0,0,0,2,2,2,0,1,0,1,0,0,0,0,-7,0,2,0,0,0,0,Galil Elion,H
23,Afek Amsalem,,8,3,0,50,0,1,0,1,5,0,0,0,0,0,0,0,-3,7,0,1,1,2,0,0,Galil Elion,H
24,Oz Blayzer,*,31,11,100,50,50,4,2,6,4,3,0,2,1,1,0,0,13,7,2,2,2,4,1,2,Galil Elion,H
33,Gabriel Chachashvili,,14,4,67,0,0,1,0,1,4,2,1,1,3,0,0,0,3,-7,2,3,0,0,0,2,Galil Elion,H
35,Zach Hankins,*,26,6,60,0,0,7,0,7,1,2,1,1,2,0,0,1,12,13,3,5,0,0,0,2,Galil Elion,H
45,Eylon Poleg,,7,0,0,0,0,2,1,3,1,0,0,2,0,0,0,0,-4,-4,0,1,0,3,0,0,Galil Elion,H
50,Yovel Zoosman,*,26,15,75,75,0,4,1,5,4,2,1,0,2,0,0,0,17,10,3,4,3,4,0,2,Galil Elion,H
80,Or Cornelius,*,31,14,43,50,50,2,3,5,1,4,0,1,3,1,0,0,17,9,3,7,2,4,2,4,Galil Elion,H
,Total,,200,81,51,44,36,28,11,39,25,17,6,11,20,3,0,1,87,0,20,39,12,27,5,14,Galil Elion,H
,Team,,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Tel-Aviv,A
4,Chris Johnson,,20,22,67,86,0,2,3,5,4,1,0,0,2,1,1,0,24,9,2,3,6,7,0,0,Hapoel Tel-Aviv,A
11,Brynton Lemar,,18,8,25,50,0,2,0,2,3,0,0,2,0,0,1,0,-1,1,1,4,2,4,0,0,Hapoel Tel-Aviv,A
20,Levi Randolph,*,33,19,55,29,50,3,1,4,2,4,0,2,4,0,1,1,15,-8,6,11,2,7,1,2,Hapoel Tel-Aviv,A
24,Oz Blayzer,*,16,6,0,40,0,1,0,1,1,1,0,0,1,0,0,0,5,-8,0,0,2,5,0,0,Hapoel Tel-Aviv,A
33,Gabriel Chachashvili,,15,4,50,0,0,1,5,6,2,0,1,0,2,0,0,1,9,2,2,4,0,0,0,0,Hapoel Tel-Aviv,A
35,Zach Hankins,*,28,15,62,0,71,3,1,4,3,5,1,1,1,1,0,2,18,-14,5,8,0,0,5,7,Hapoel Tel-Aviv,A
44,Speedy Smith,*,25,13,75,25,80,1,0,1,5,2,0,3,10,0,0,0,13,-10,3,4,1,4,4,5,Hapoel Tel-Aviv,A
