#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
,Team,,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Kiryat Ata,A,13,3,Amit Schaerf
3,Justin Smith,*,31,8,80,0,0,4,1,5,2,1,1,1,3,1,0,2,15,-9,4,5,0,0,0,0,Kiryat Ata,A,13,3,Amit Schaerf
8,Shawn Dawson,*,33,18,33,50,67,8,0,8,4,7,0,2,4,0,0,0,20,-4,3,9,2,4,6,9,Kiryat Ata,A,13,3,Amit Schaerf
9,Hans Vanwijn,,23,7,100,50,0,2,1,3,1,3,0,0,2,0,0,0,13,9,2,2,1,2,0,0,Kiryat Ata,A,13,3,Amit Schaerf
11,C.J. Harris,*,32,8,25,0,100,3,1,4,5,5,1,2,4,0,3,0,0,-8,2,8,0,6,4,4,Kiryat Ata,A,13,3,Amit Schaerf
12,Shahar Amir,,14,8,50,50,0,1,0,1,1,1,2,0,1,0,0,0,8,8,1,2,2,4,0,1,Kiryat Ata,A,13,3,Amit Schaerf
16,Yotam Hanochi,*,19,6,75,0,0,2,1,3,2,1,0,2,2,1,0,0,7,-9,3,4,0,1,0,0,Kiryat Ata,A,13,3,Amit Schaerf
21,Netanel Artzi,*,24,13,29,75,0,0,1,1,4,1,2,3,0,1,0,0,3,-1,2,7,3,4,0,2,Kiryat Ata,A,13,3,Amit Schaerf
22,Drew Crawford,,24,14,50,50,0,1,2,3,4,0,1,2,0,0,0,0,7,-6,1,2,4,8,0,0,Kiryat Ata,A,13,3,Amit Schaerf
,Total,,200,82,46,41,63,26,11,37,23,19,7,12,16,3,3,2,82,0,18,39,12,29,10,16,Kiryat Ata,A,13,3,Amit Schaerf
,Team,,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Hapoel Afula,H,9,1,Amit Schaerf
3,Justin Smith,*,32,22,88,0,67,6,3,9,3,9,1,3,2,1,0,4,33,11,7,8,0,0,8,12,Hapoel Afula,H,9,1,Amit Schaerf
8,Shawn Dawson,*,27,6,38,0,0,3,1,4,1,0,0,4,1,0,0,0,0,8,3,8,0,1,0,0,Hapoel Afula,H,9,1,Amit Schaerf
9,Hans Vanwijn,,15,7,0,100,50,0,2,2,4,1,0,2,3,0,1,0,3,-1,0,2,2,2,1,2,Hapoel Afula,H,9,1,Amit Schaerf
12,Shahar Amir,,4,3,0,50,0,0,0,0,1,0,0,0,0,0,0,0,1,-4,0,0,1,2,0,0,Hapoel Afula,H,9,1,Amit Schaerf
13,Nick Johnson,*,25,13,40,50,86,5,0,5,4,6,1,2,7,2,0,0,23,4,2,5,1,2,6,7,Hapoel Afula,H,9,1,Amit Schaerf
16,Yotam Hanochi,*,27,14,100,33,75,5,0,5,2,2,0,2,1,3,0,0,18,7,4,4,1,3,3,4,Hapoel Afula,H,9,1,Amit Schaerf
21,Netanel Artzi,*,19,5,0,50,100,1,1,2,2,1,0,0,2,0,0,0,7,3,0,0,1,2,2,2,Hapoel Afula,H,9,1,Amit Schaerf
22,Drew Crawford,,22,9,50,50,50,2,0,2,3,2,1,1,2,1,0,0,9,-1,1,2,2,4,1,2,Hapoel Afula,H,9,1,Amit Schaerf
44,Niv Misgav,,29,6,0,14,75,2,2,4,4,4,1,4,3,0,0,0,2,-2,0,1,1,7,3,4,Hapoel Afula,H,9,1,Amit Schaerf
,Total,,200,85,57,39,73,29,10,39,24,25,4,18,21,7,1,4,102,0,17,30,9,23,24,33,Hapoel Afula,H,9,1,Amit Schaerf
,Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Haifa,H,14,4,Amit Schaerf
3,Justin Smith,*,20,10,67,0,50,4,2,6,2,3,0,3,2,1,0,0,11,-6,4,6,0,2,2,4,Hapoel Haifa,H,14,4,Amit Schaerf
8,Shawn Dawson,*,26,14,50,20,71,4,1,5,4,6,0,6,9,1,1,0,15,8,3,6,1,5,5,7,Hapoel Haifa,H,14,4,Amit Schaerf
