player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Daeshon Francis,*,19,6,33,0,100,3,0,3,3,2,0,0,2,0,0,6,-1,2,6,0,0,2,2,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Alon Michaeli,*,21,4,100,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,2,0,0,0,0,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Frederic Bourdillon,,22,3,0,20,0,1,0,1,3,1,1,0,1,0,0,-1,1,0,1,1,5,0,0,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Jimmy Clark III,*,37,19,20,83,50,6,1,7,4,3,2,2,9,1,0,28,5,1,5,5,6,2,4,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Xavier Sneed,*,38,25,50,36,78,1,0,1,4,7,1,1,1,0,0,18,1,3,6,4,11,7,9,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Chris Silva,*,32,25,64,0,85,3,2,5,3,9,0,3,5,1,0,32,9,7,11,0,1,11,13,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Josh Hawley,,33,16,83,0,75,6,2,8,3,5,5,1,1,0,0,28,5,5,6,0,0,6,8,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Ethan Burg,,23,8,67,0,0,0,1,1,5,2,3,3,5,0,1,5,4,4,6,0,3,0,0,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Total,,225,106,56,38,78,21,7,28,28,29,12,10,24,2,1,119,0,24,43,10,26,28,36,Maccabi_Tel-Aviv,H,6,6,Yehu Orland
Team,,0,0,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,10,10,Yehu Orland
Alon Michaeli,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,6,0,0,0,0,0,0,Hapoel_Jerusalem,H,10,10,Yehu Orland
Frederic Bourdillon,,25,9,0,25,75,4,0,4,4,2,1,0,2,0,0,7,-3,0,0,2,8,3,4,Hapoel_Jerusalem,H,10,10,Yehu Orland
Jimmy Clark III,*,26,19,50,60,80,2,0,2,5,4,3,4,4,2,1,18,20,3,6,3,5,4,5,Hapoel_Jerusalem,H,10,10,Yehu Orland
John Meeks,*,37,8,67,12,100,5,0,5,0,1,1,1,0,0,0,6,-4,2,3,1,8,1,1,Hapoel_Jerusalem,H,10,10,Yehu Orland
Omer Ben David,*,10,2,0,0,100,1,2,3,1,1,1,0,2,0,0,6,-1,0,1,0,1,2,2,Hapoel_Jerusalem,H,10,10,Yehu Orland
Xavier Sneed,*,22,17,33,57,75,1,2,3,5,5,0,2,0,1,0,13,0,1,3,4,7,3,4,Hapoel_Jerusalem,H,10,10,Yehu Orland
Chris Silva,*,26,4,14,0,67,10,2,12,2,5,1,7,0,3,1,8,11,1,7,0,0,2,3,Hapoel_Jerusalem,H,10,10,Yehu Orland
Josh Hawley,,24,5,40,0,100,3,7,10,4,1,3,3,2,2,1,11,-5,2,5,0,1,1,1,Hapoel_Jerusalem,H,10,10,Yehu Orland
Ethan Burg,,27,4,17,0,67,3,2,5,1,1,1,2,1,0,1,0,-14,1,6,0,2,2,3,Hapoel_Jerusalem,H,10,10,Yehu Orland
Total,,200,68,32,31,78,31,16,47,23,20,11,21,11,8,4,69,0,10,31,10,32,18,23,Hapoel_Jerusalem,H,10,10,Yehu Orland
Team,,0,0,0,0,0,5,2,7,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Daeshon Francis,*,28,8,43,0,100,1,1,2,3,2,2,1,1,0,1,4,-13,3,7,0,2,2,2,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Alon Michaeli,,23,6,67,0,100,3,2,5,2,2,0,0,0,0,0,8,-10,2,3,0,2,2,2,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Frederic Bourdillon,,29,6,0,29,0,1,0,1,2,1,3,2,2,0,0,4,-11,0,0,2,7,0,0,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Jimmy Clark III,*,28,20,50,20,83,1,2,3,4,4,1,2,5,0,0,16,-2,6,12,1,5,5,6,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
John Meeks,*,38,15,50,29,75,6,1,7,0,6,1,2,0,0,0,18,-14,3,6,2,7,3,4,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Omer Ben David,,11,2,50,0,0,0,0,0,3,0,0,1,1,0,0,-5,-12,1,2,0,3,0,0,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Alon Aronovich,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-2,-1,0,2,0,0,0,0,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Josh Hawley,*,21,10,60,50,100,4,4,8,5,2,1,1,1,1,0,14,-14,3,5,1,2,1,1,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Ethan Burg,*,21,12,60,33,100,0,1,1,0,2,1,2,3,0,0,13,-13,3,5,1,3,3,3,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Total,,200,79,50,23,89,21,14,35,20,19,9,11,13,1,2,76,0,21,42,7,31,16,18,Hapoel_Tel-Aviv,A,3,3,Yehu Orland
Team,,0,0,0,0,0,2,2,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Ness_Ziona,H,12,12,Yehu Orland
Frederic Bourdillon,*,16,2,100,0,0,1,1,2,3,0,1,0,1,0,0,2,-14,1,1,0,1,0,0,Ness_Ziona,H,12,12,Yehu Orland
Jimmy Clark III,*,37,20,56,17,100,2,2,4,4,4,2,1,5,1,0,22,-9,5,9,1,6,7,7,Ness_Ziona,H,12,12,Yehu Orland
John Meeks,,29,10,67,67,0,4,0,4,2,1,2,2,2,0,0,13,-2,2,3,2,3,0,0,Ness_Ziona,H,12,12,Yehu Orland
Shalev Lugashi,,12,2,0,0,100,0,0,0,2,1,1,1,2,0,0,2,2,0,0,0,1,2,2,Ness_Ziona,H,12,12,Yehu Orland
Omer Ben David,,13,7,50,100,100,3,0,3,2,1,2,3,0,0,0,7,22,1,2,1,1,2,2,Ness_Ziona,H,12,12,Yehu Orland
Xavier Sneed,*,26,16,57,20,83,1,0,1,4,5,1,1,3,0,1,12,1,4,7,1,5,5,6,Ness_Ziona,H,12,12,Yehu Orland
Chris Silva,*,26,17,31,0,100,8,3,11,4,9,1,2,7,1,1,30,4,4,13,0,0,9,9,Ness_Ziona,H,12,12,Yehu Orland
Josh Hawley,*,28,8,75,0,67,5,2,7,3,3,0,1,0,0,0,12,0,3,4,0,0,2,3,Ness_Ziona,H,12,12,Yehu Orland
Ethan Burg,,13,2,33,0,0,2,0,2,2,1,0,1,1,0,1,-3,-14,1,3,0,3,0,0,Ness_Ziona,H,12,12,Yehu Orland
Total,,200,84,50,25,93,28,10,38,26,25,10,13,21,2,3,100,0,21,42,5,20,27,29,Ness_Ziona,H,12,12,Yehu Orland
Team,,0,0,0,0,0,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Daeshon Francis,*,27,15,100,0,100,2,1,3,4,5,4,2,1,0,0,22,8,4,4,0,0,7,7,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Alon Michaeli,,5,1,0,0,50,0,0,0,0,1,0,0,0,0,0,1,-6,0,0,0,0,1,2,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Frederic Bourdillon,*,25,8,50,25,50,2,0,2,5,1,0,1,3,0,0,2,11,2,4,1,4,1,2,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Jimmy Clark III,*,35,26,67,40,100,1,1,2,4,3,2,3,5,0,0,22,3,6,9,4,10,2,2,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
John Meeks,*,38,16,75,50,100,0,2,2,1,4,0,4,3,0,0,16,5,3,4,3,6,1,1,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Omer Ben David,,5,3,0,100,0,2,0,2,0,1,0,1,2,0,0,7,-1,0,0,1,1,0,0,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Chris Silva,*,29,11,33,100,100,7,4,11,3,4,1,7,5,1,0,21,-4,1,3,1,1,6,6,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Josh Hawley,,19,0,0,0,0,5,0,5,5,0,1,0,0,2,0,0,8,0,1,0,2,0,0,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Ethan Burg,,17,8,0,67,100,2,0,2,3,5,1,2,0,0,0,7,-14,0,3,2,3,2,2,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Total,,200,88,57,44,91,23,9,32,27,24,9,20,19,3,0,99,0,16,28,12,27,20,22,Maccabi_Ramat_Gan,H,4,4,Yehu Orland
Team,,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Elitzur_Netanya,A,7,7,Yehu Orland
Daeshon Francis,*,21,7,33,0,83,2,3,5,1,4,3,2,3,0,0,16,-4,1,3,0,0,5,6,Elitzur_Netanya,A,7,7,Yehu Orland
Alon Michaeli,*,12,3,0,33,0,1,1,2,3,0,0,0,0,0,1,-3,2,0,2,1,3,0,0,Elitzur_Netanya,A,7,7,Yehu Orland
Frederic Bourdillon,,18,7,0,50,33,2,1,3,1,3,0,0,1,0,1,7,-8,0,1,2,4,1,3,Elitzur_Netanya,A,7,7,Yehu Orland
Jimmy Clark III,*,29,15,71,25,67,3,0,3,0,3,2,3,3,1,0,18,2,5,7,1,4,2,3,Elitzur_Netanya,A,7,7,Yehu Orland
Omer Ben David,,4,2,100,0,0,0,0,0,1,2,0,0,1,0,0,2,-2,1,1,0,0,0,2,Elitzur_Netanya,A,7,7,Yehu Orland
Xavier Sneed,*,28,20,44,38,100,4,0,4,0,2,1,1,5,2,0,23,12,4,9,3,8,3,3,Elitzur_Netanya,A,7,7,Yehu Orland
Chris Silva,*,33,8,43,0,67,5,2,7,4,5,2,4,6,0,0,13,10,3,7,0,2,2,3,Elitzur_Netanya,A,7,7,Yehu Orland
Josh Hawley,,29,8,67,33,50,10,3,13,3,2,3,1,1,1,0,20,8,2,3,1,3,1,2,Elitzur_Netanya,A,7,7,Yehu Orland
Ethan Burg,,26,15,100,38,100,2,0,2,1,4,0,2,1,0,0,14,5,2,2,3,8,2,2,Elitzur_Netanya,A,7,7,Yehu Orland
Total,,200,85,51,34,67,31,10,41,14,25,11,14,21,4,2,111,0,18,35,11,32,16,24,Elitzur_Netanya,A,7,7,Yehu Orland
Team,,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Holon,H,8,8,Yehu Orland
Alon Michaeli,,4,5,100,100,0,0,1,1,0,0,0,1,0,0,0,5,-1,1,1,1,1,0,0,Hapoel_Holon,H,8,8,Yehu Orland
Frederic Bourdillon,,18,9,0,100,0,1,0,1,2,1,3,0,0,0,0,12,7,0,0,3,3,0,0,Hapoel_Holon,H,8,8,Yehu Orland
Jimmy Clark III,*,35,10,75,33,50,2,0,2,2,1,1,8,11,1,0,12,15,3,4,1,3,1,2,Hapoel_Holon,H,8,8,Yehu Orland
John Meeks,*,35,15,75,60,0,8,0,8,1,0,0,1,2,0,0,20,11,3,4,3,5,0,0,Hapoel_Holon,H,8,8,Yehu Orland
Omer Ben David,*,10,4,67,0,0,2,2,4,2,2,0,0,1,0,0,5,-7,2,3,0,1,0,2,Hapoel_Holon,H,8,8,Yehu Orland
Xavier Sneed,*,30,22,75,40,100,4,0,4,1,5,1,4,2,1,0,25,-4,6,8,2,5,4,4,Hapoel_Holon,H,8,8,Yehu Orland
Chris Silva,*,23,6,29,0,100,5,0,5,4,7,0,4,3,0,1,7,9,2,7,0,0,2,2,Hapoel_Holon,H,8,8,Yehu Orland
Josh Hawley,,17,1,0,0,50,3,1,4,2,1,1,1,2,2,0,6,-1,0,1,0,0,1,2,Hapoel_Holon,H,8,8,Yehu Orland
Ethan Burg,,28,17,33,60,100,3,0,3,4,4,0,1,4,0,1,18,16,1,3,3,5,6,6,Hapoel_Holon,H,8,8,Yehu Orland
Total,,200,89,58,57,78,31,4,35,19,21,6,20,25,4,2,112,0,18,31,13,23,14,18,Hapoel_Holon,H,8,8,Yehu Orland
Team,,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Daeshon Francis,*,28,16,100,0,67,1,0,1,4,6,4,1,2,1,0,21,11,4,4,0,0,8,12,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Alon Michaeli,*,12,2,100,0,0,3,0,3,1,0,1,0,1,1,0,7,9,1,1,0,0,0,0,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Frederic Bourdillon,,28,3,0,33,0,2,0,2,2,2,3,1,5,1,0,10,2,0,1,1,3,0,0,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Jimmy Clark III,*,26,19,50,57,60,1,0,1,4,3,0,3,3,1,1,12,10,2,4,4,7,3,5,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
John Meeks,*,35,13,50,43,0,4,0,4,2,0,0,2,0,1,0,8,20,2,4,3,7,0,0,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Omer Ben David,,12,0,0,0,0,3,0,3,2,1,0,0,3,0,0,1,2,0,1,0,3,0,0,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Chris Silva,*,29,23,77,0,100,4,3,7,3,4,1,4,5,1,1,30,7,10,13,0,0,3,3,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Josh Hawley,,15,3,50,0,50,2,2,4,3,1,0,0,0,1,0,4,-18,1,2,0,0,1,2,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Ethan Burg,,15,8,50,20,75,0,0,0,3,2,2,5,2,0,0,0,-13,1,2,1,5,3,4,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Total,,200,87,66,36,69,22,5,27,24,19,11,17,21,7,2,94,0,21,32,9,25,18,26,Be'er_Sheva_Dimona,H,2,2,Yehu Orland
Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Daeshon Francis,*,21,18,86,0,75,1,1,2,3,6,1,2,1,0,1,19,5,6,7,0,0,6,8,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Alon Michaeli,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Frederic Bourdillon,*,20,3,0,0,100,4,0,4,0,1,3,1,1,0,0,9,2,0,0,0,2,3,3,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Jimmy Clark III,*,33,15,67,0,100,3,0,3,3,3,4,4,9,2,1,21,6,6,9,0,4,3,3,Hapoel_Galil_Elion,A,1,1,Yehu Orland
John Meeks,*,32,10,33,67,0,6,2,8,0,0,0,1,2,0,1,13,-2,2,6,2,3,0,0,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Shalev Lugashi,,9,2,100,0,0,1,0,1,2,0,2,0,3,1,0,6,2,1,1,0,1,0,0,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Omer Ben David,,8,5,67,0,50,0,0,0,2,2,0,0,3,0,0,6,6,2,3,0,0,1,2,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Chris Silva,*,27,19,56,0,82,2,3,5,3,7,0,4,1,1,0,20,3,5,9,0,0,9,11,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Josh Hawley,,23,8,80,0,0,4,0,4,2,0,3,2,1,0,0,11,9,4,5,0,0,0,0,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Ethan Burg,,26,13,20,50,83,3,0,3,2,4,2,2,2,0,1,12,-2,1,5,2,4,5,6,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Total,,200,93,59,29,82,25,7,32,17,23,15,16,23,4,4,118,0,27,46,4,14,27,33,Hapoel_Galil_Elion,A,1,1,Yehu Orland
Team,,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Hapoel_Afula,A,11,11,Yehu Orland
Alon Michaeli,*,12,3,0,100,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,1,1,0,0,Hapoel_Afula,A,11,11,Yehu Orland
Frederic Bourdillon,,16,9,67,33,50,0,0,0,3,2,0,0,1,0,1,3,-17,2,3,1,3,2,4,Hapoel_Afula,A,11,11,Yehu Orland
Jimmy Clark III,*,32,18,50,0,100,3,0,3,4,2,3,1,4,0,3,10,-18,8,16,0,4,2,2,Hapoel_Afula,A,11,11,Yehu Orland
John Meeks,*,28,12,80,20,100,3,1,4,3,1,1,0,1,1,0,12,-6,4,5,1,5,1,1,Hapoel_Afula,A,11,11,Yehu Orland
Shalev Lugashi,,6,0,0,0,0,2,0,2,2,0,1,0,1,0,0,2,1,0,0,0,0,0,0,Hapoel_Afula,A,11,11,Yehu Orland
Omer Ben David,,3,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,Hapoel_Afula,A,11,11,Yehu Orland
Xavier Sneed,*,32,19,62,14,100,4,0,4,1,5,4,4,3,0,0,21,-11,5,8,1,7,6,6,Hapoel_Afula,A,11,11,Yehu Orland
Chris Silva,*,30,22,53,0,86,4,4,8,4,5,1,7,2,1,1,19,-11,8,15,0,0,6,7,Hapoel_Afula,A,11,11,Yehu Orland
Josh Hawley,,19,7,67,0,75,6,3,9,4,4,2,2,3,2,0,18,-6,2,3,0,1,3,4,Hapoel_Afula,A,11,11,Yehu Orland
Ethan Burg,,22,7,50,33,100,1,2,3,3,2,0,3,3,0,1,5,-5,1,2,1,3,2,2,Hapoel_Afula,A,11,11,Yehu Orland
Total,,200,97,58,20,85,28,14,42,26,21,12,18,19,4,6,99,0,30,52,5,25,22,26,Hapoel_Afula,A,11,11,Yehu Orland
Team,,0,0,0,0,0,3,1,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,A,5,5,Yehu Orland
Alon Michaeli,*,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,-10,0,1,0,0,0,0,Ironi_Kiryat_Ata,A,5,5,Yehu Orland
Frederic Bourdillon,,22,3,0,0,75,2,1,3,0,3,0,1,5,1,0,7,-10,0,1,0,5,3,4,Ironi_Kiryat_Ata,A,5,5,Yehu Orland
