player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,2,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Shachar Doron,,17,9,25,33,50,3,1,4,2,1,1,1,0,0,1,3,-17,1,4,2,6,1,2,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Bryce Washington,*,32,14,45,0,100,7,1,8,1,3,0,3,2,0,0,17,-18,5,11,0,0,4,4,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Roy Paretsky,*,30,11,50,100,100,4,4,8,6,3,2,4,6,0,0,17,-15,3,6,1,1,2,2,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Cody Riley,,9,0,0,0,0,1,1,2,2,0,0,1,0,0,1,-5,-11,0,3,0,0,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Boris Boguslavsky,,9,6,0,67,0,0,1,1,0,0,0,1,0,0,0,5,-3,0,0,2,3,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Maxim Filonenko,,2,2,100,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Imri Shavit,,7,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Ilay Dolinski,,16,2,14,0,0,4,2,6,4,3,0,2,2,0,1,-1,-6,1,7,0,1,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Itay Moshkovitz,*,31,14,43,14,100,4,2,6,2,7,1,6,3,0,1,12,-7,3,7,1,7,5,5,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Eric Romero,*,19,7,33,33,33,3,1,4,3,3,0,0,0,1,1,3,-3,1,3,1,3,2,6,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Ilay Hayoun,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Cody Demps,*,27,4,100,0,0,1,0,1,3,0,0,1,1,0,0,1,-14,2,2,0,1,0,0,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
Total,,200,69,39,29,74,33,15,48,24,20,4,21,14,1,5,57,0,17,44,7,24,14,19,Be'er_Sheva_Dimona,A,6,6,Idan Avshalom
