player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Jalen Lecque,*,37,22,42,17,100,4,0,4,1,8,4,3,4,0,1,25,2,5,12,1,6,9,9,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Sandy Cohen,*,21,3,50,0,50,2,1,3,5,1,1,1,0,0,0,-4,0,1,2,0,4,1,2,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Justyn Mutts,*,31,7,38,0,50,7,7,14,3,1,1,4,5,1,0,15,-7,3,8,0,1,1,2,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
JP Tokoto,*,28,8,67,0,0,3,1,4,5,2,1,0,0,0,0,6,2,4,6,0,0,0,2,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Armaan Franklin,,31,24,77,12,50,3,0,3,2,3,2,1,0,0,2,16,-6,10,13,1,8,1,2,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Eyal Harel,*,18,4,100,0,0,0,0,0,2,1,1,0,0,0,0,1,-6,2,2,0,3,0,0,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Muriel Lutati,,16,2,0,0,100,4,0,4,5,1,1,3,7,0,0,6,7,0,1,0,0,2,2,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Eidan Alber,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-8,0,2,0,0,0,0,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Gilad Levy,,14,8,100,0,50,2,2,4,2,2,1,0,0,1,0,12,6,3,3,0,0,2,4,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Total,,200,78,57,9,70,27,12,39,25,19,12,12,16,2,3,78,0,28,49,2,22,16,23,Hapoel_Jerusalem,A,7,7,Ariel Bet Halahmi
Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Jalen Lecque,*,31,15,62,0,71,4,1,5,3,5,1,0,1,0,1,17,-4,5,8,0,1,5,7,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Sandy Cohen,*,36,13,44,14,100,4,0,4,4,3,2,0,2,0,1,8,-4,4,9,1,7,2,2,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Justyn Mutts,*,20,4,50,0,0,5,4,9,0,1,1,3,0,1,0,9,-9,2,4,0,0,0,2,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
JP Tokoto,*,36,19,60,0,50,5,5,10,2,3,1,0,3,0,0,27,-9,9,15,0,0,1,2,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Eyal Harel,,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-4,-3,0,2,0,2,0,0,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Muriel Lutati,,20,6,0,50,0,1,0,1,2,0,0,0,3,0,0,6,1,0,0,2,4,0,0,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Noam Avivi,,12,2,0,0,100,0,0,0,0,1,0,0,0,0,0,2,-1,0,1,0,0,2,2,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Gilad Levy,,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,-3,0,0,0,0,0,0,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
J'Covan Brown,*,34,15,45,14,100,1,0,1,1,4,3,1,2,0,1,10,-8,5,11,1,7,2,2,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Total,,200,74,50,19,71,23,13,36,13,18,8,4,11,1,3,81,0,25,50,4,21,12,17,Hapoel_Holon,A,9,9,Ariel Bet Halahmi
Team,,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ness_Ziona,H,8,8,Ariel Bet Halahmi
Jalen Lecque,*,22,14,50,40,80,1,0,1,4,3,0,1,3,0,0,10,8,2,4,2,5,4,5,Ness_Ziona,H,8,8,Ariel Bet Halahmi
Sandy Cohen,*,35,15,50,50,80,5,1,6,3,2,1,2,4,0,1,17,10,1,2,3,6,4,5,Ness_Ziona,H,8,8,Ariel Bet Halahmi
Justyn Mutts,*,28,17,55,100,50,5,3,8,2,2,3,2,8,0,1,26,11,6,11,1,1,2,4,Ness_Ziona,H,8,8,Ariel Bet Halahmi
