player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Ness_Ziona,A,9,7,Rami Hadar
Paul Scruggs,*,27,7,0,33,50,2,0,2,5,1,2,0,5,0,0,4,7,0,3,2,6,1,2,Ness_Ziona,A,9,7,Rami Hadar
Kareem Reid,*,20,9,67,0,33,0,1,1,4,3,0,0,4,0,0,9,-2,4,6,0,0,1,3,Ness_Ziona,A,9,7,Rami Hadar
Iverson Molinar,*,17,14,100,100,80,2,0,2,2,5,1,6,4,0,0,17,-4,2,2,2,2,4,5,Ness_Ziona,A,9,7,Rami Hadar
Ido Flaisher,,18,8,80,0,0,1,3,4,2,1,1,0,0,0,0,9,3,4,5,0,0,0,2,Ness_Ziona,A,9,7,Rami Hadar
Spencer Weisz,*,37,17,64,25,0,3,0,3,3,0,3,0,5,0,0,18,-15,7,11,1,4,0,0,Ness_Ziona,A,9,7,Rami Hadar
Neta Segal,,24,2,50,0,0,0,0,0,2,2,3,0,3,0,0,5,-3,1,2,0,2,0,0,Ness_Ziona,A,9,7,Rami Hadar
Ron Zipper,,27,23,78,40,75,2,0,2,5,2,4,1,2,0,1,20,-9,7,9,2,5,3,4,Ness_Ziona,A,9,7,Rami Hadar
Yoav Vitlem,,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-13,0,1,0,0,0,0,Ness_Ziona,A,9,7,Rami Hadar
Ray Spalding,*,22,17,60,0,62,4,3,7,3,7,1,3,1,0,1,19,-14,6,10,0,0,5,8,Ness_Ziona,A,9,7,Rami Hadar
Total,,200,97,63,37,58,15,9,24,27,21,16,11,24,0,2,102,0,31,49,7,19,14,24,Ness_Ziona,A,9,7,Rami Hadar
Team,,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,5,4,Oren Aharoni
Paul Scruggs,*,29,18,67,38,50,5,0,5,2,1,2,0,1,1,0,18,-8,4,6,3,8,1,2,Maccabi_Tel-Aviv,A,5,4,Oren Aharoni
Iverson Molinar,*,28,11,57,33,0,4,0,4,1,4,0,2,3,0,0,14,-13,4,7,1,3,0,0,Maccabi_Tel-Aviv,A,5,4,Oren Aharoni
