player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Jared Harper,*,26,30,56,57,67,4,0,4,3,8,0,3,5,0,0,30,10,5,9,4,7,8,12,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Khadeen Carrington,,20,12,33,50,100,1,0,1,4,2,1,2,3,0,1,6,14,2,6,2,4,2,2,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Chris Johnson,*,28,15,100,60,100,2,1,3,3,2,1,1,1,1,0,17,13,1,1,3,5,4,4,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Gabriel Chachashvili,,23,10,67,0,50,2,2,4,0,2,2,0,2,0,0,16,18,4,6,0,0,2,4,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Jeremy Morgan,,22,4,0,50,50,3,1,4,3,4,1,1,2,0,0,9,-1,0,0,1,2,1,2,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Tarik Phillip,*,29,4,33,0,50,1,3,4,2,5,0,1,1,0,0,6,15,1,3,0,1,2,4,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Derek Ogbeide,*,16,6,75,0,0,1,1,2,0,0,1,0,0,0,1,7,-2,3,4,0,0,0,0,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Yovel Zoosman,*,30,17,67,80,50,5,2,7,2,2,1,0,2,1,0,25,11,2,3,4,5,1,2,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Egor Koulechov,,6,3,0,100,0,1,0,1,4,0,0,0,0,0,0,0,7,0,0,1,1,0,0,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Total,,200,101,56,60,67,20,10,30,21,25,7,8,16,2,2,116,0,18,32,15,25,20,30,Maccabi_Tel-Aviv,H,11,11,Jonathan Alon
Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Justin Smith,,21,9,75,100,0,1,1,2,3,2,0,1,0,1,0,7,0,3,4,1,1,0,2,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Jared Harper,*,30,19,44,0,92,3,1,4,3,6,0,3,4,0,1,15,-23,4,9,0,5,11,12,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Chris Johnson,,16,2,25,0,0,2,0,2,3,1,1,0,0,0,1,-2,8,1,4,0,1,0,0,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Austin Wiley,*,25,11,50,0,50,6,5,11,4,6,0,1,0,2,0,18,-9,4,8,0,0,3,6,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Gabriel Chachashvili,*,16,4,100,0,0,0,1,1,1,2,1,1,2,2,0,9,-16,2,2,0,1,0,0,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
Noam Dovrat,,21,8,50,33,75,1,1,2,2,3,1,4,1,0,0,5,-6,1,2,1,3,3,4,Hapoel_Tel-Aviv,H,2,2,Jonathan Alon
