player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,6,2,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Hapoel_Holon,H,12,12,Sharon Avrahami
Darius Perry,,20,6,25,25,50,2,0,2,3,1,2,1,2,0,0,2,3,1,4,1,4,1,2,Hapoel_Holon,H,12,12,Sharon Avrahami
Gur Lavy,*,32,17,78,50,0,1,2,3,2,2,1,1,2,0,0,18,-6,7,9,1,2,0,1,Hapoel_Holon,H,12,12,Sharon Avrahami
"Ishmael ""Ish"" El-Amin",*,30,14,57,14,100,0,1,1,5,4,0,4,5,0,1,5,-3,4,7,1,7,3,3,Hapoel_Holon,H,12,12,Sharon Avrahami
Gil Beni,,12,0,0,0,0,2,0,2,2,3,1,2,0,0,0,0,3,0,1,0,1,0,0,Hapoel_Holon,H,12,12,Sharon Avrahami
Lotan Amsalem,,12,4,40,0,0,1,2,3,2,2,0,2,0,0,0,0,-2,2,5,0,1,0,1,Hapoel_Holon,H,12,12,Sharon Avrahami
Elijah Childs,*,29,8,20,40,0,1,0,1,2,1,1,0,1,0,2,1,-3,1,5,2,5,0,0,Hapoel_Holon,H,12,12,Sharon Avrahami
Roey Netzia,,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,Hapoel_Holon,H,12,12,Sharon Avrahami
Ben Moore,*,36,19,73,100,0,8,6,14,4,1,3,0,3,0,0,33,-5,8,11,1,1,0,0,Hapoel_Holon,H,12,12,Sharon Avrahami
Niv Misgav,*,28,11,50,50,100,2,2,4,1,2,0,1,8,0,0,19,-11,3,6,1,2,2,2,Hapoel_Holon,H,12,12,Sharon Avrahami
Total,,200,79,54,30,67,24,15,39,22,16,8,12,22,0,3,86,0,26,48,7,23,6,9,Hapoel_Holon,H,12,12,Sharon Avrahami
Team,,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Jon Davis,*,28,18,67,38,83,2,0,2,2,3,0,1,5,0,0,18,-15,2,3,3,8,5,6,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Gur Lavy,*,35,13,50,67,100,5,2,7,4,2,2,2,4,0,0,18,-2,3,6,2,3,1,1,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
"Ishmael ""Ish"" El-Amin",*,25,15,25,43,100,0,0,0,5,3,0,1,3,0,1,7,-1,1,4,3,7,4,4,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Gil Beni,,25,3,33,0,25,0,1,1,1,4,2,2,8,0,0,8,12,1,3,0,2,1,4,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Lotan Amsalem,*,30,15,57,33,50,3,4,7,5,1,2,2,2,0,0,12,0,4,7,2,6,1,2,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Tal Peled,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,0,1,0,3,0,0,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Roey Netzia,,6,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,-13,0,0,0,1,0,0,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Emmanuel Nzekwesi,,24,12,50,0,100,6,4,10,2,1,0,2,1,0,0,15,2,5,10,0,0,2,2,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Ben Moore,*,21,7,50,0,100,3,1,4,5,0,0,1,0,0,0,2,-9,3,6,0,0,1,1,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Josh Aldrich,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Total,,200,83,48,33,75,22,12,34,24,15,8,11,24,0,1,82,0,19,40,10,30,15,20,Maccabi_Tel-Aviv,A,3,3,Sharon Avrahami
Team,,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
Jon Davis,*,34,16,67,75,60,4,0,4,1,3,1,5,5,0,0,19,1,2,3,3,4,3,5,Ness_Ziona,A,4,4,Sharon Avrahami
Gur Lavy,*,29,7,33,33,0,4,1,5,4,0,0,5,4,0,1,0,0,2,6,1,3,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
"Ishmael ""Ish"" El-Amin",*,26,16,50,38,100,2,0,2,2,2,2,5,3,1,0,12,-2,2,4,3,8,3,3,Ness_Ziona,A,4,4,Sharon Avrahami
Gil Beni,,17,4,0,50,50,2,0,2,0,2,0,4,2,0,0,3,-28,0,1,1,2,1,2,Ness_Ziona,A,4,4,Sharon Avrahami
Lotan Amsalem,*,27,12,100,67,100,5,1,6,4,3,0,3,1,1,0,15,-9,2,2,2,3,2,2,Ness_Ziona,A,4,4,Sharon Avrahami
Tal Peled,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
Roey Netzia,,12,6,0,67,0,0,0,0,5,0,1,1,0,0,0,0,-3,0,0,2,3,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
Emmanuel Nzekwesi,,10,0,0,0,0,2,0,2,1,0,0,2,0,0,0,-3,-24,0,1,0,1,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
Nevo Sommerfeld,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,Ness_Ziona,A,4,4,Sharon Avrahami
Ben Moore,*,32,13,62,0,75,6,2,8,4,3,2,4,1,0,1,14,-12,5,8,0,0,3,4,Ness_Ziona,A,4,4,Sharon Avrahami
Josh Aldrich,,11,9,100,100,50,1,0,1,0,2,0,0,1,0,0,12,-7,1,1,2,2,1,2,Ness_Ziona,A,4,4,Sharon Avrahami
Total,,200,83,54,54,72,28,5,33,21,15,6,29,17,2,2,75,0,14,26,14,26,13,18,Ness_Ziona,A,4,4,Sharon Avrahami
Team,,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,8,8,Sharon Avrahami
Darius Perry,*,30,15,0,38,100,5,1,6,1,3,2,4,4,0,0,15,-17,0,5,3,8,6,6,Hapoel_Tel-Aviv,H,8,8,Sharon Avrahami
Gur Lavy,*,19,8,14,0,75,2,3,5,2,4,1,2,0,0,1,4,-19,1,7,0,1,6,8,Hapoel_Tel-Aviv,H,8,8,Sharon Avrahami
