player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Elijah Mitrou-Long,*,34,15,50,29,100,3,0,3,3,4,1,1,5,0,1,14,-6,4,8,2,7,1,1,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Brendan Adams,,22,6,75,0,0,1,0,1,1,0,0,1,3,0,0,3,-19,3,4,0,4,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Mike Davis Jr.,,9,3,0,33,0,1,0,1,1,0,1,1,0,1,0,1,-7,0,1,1,3,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Yotam Hanochi,,8,2,0,0,100,1,0,1,2,1,0,0,0,0,0,-1,-5,0,1,0,2,2,2,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Michale Kyser,*,31,15,67,0,75,7,5,12,3,5,1,0,1,0,0,27,2,6,9,0,0,3,4,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Dakarai Tucker,*,31,11,50,38,0,0,1,1,1,0,1,1,0,0,0,5,2,1,2,3,8,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Idan Zalmanson,,12,2,50,0,0,2,0,2,1,0,1,0,0,0,0,3,-8,1,2,0,0,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Netanel Artzi,*,31,14,67,40,0,3,0,3,2,1,3,0,1,0,1,14,-2,4,6,2,5,0,0,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Yiftach Ziv,*,22,4,20,0,100,0,1,1,3,8,3,0,4,0,0,8,8,1,5,0,5,2,2,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Total,,200,72,53,24,89,20,9,29,17,19,11,4,14,1,2,78,0,20,38,8,34,8,9,Maccabi_Tel-Aviv,H,10,10,Guy Goodess
Team,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bnei_Herzliya,A,8,7,Guy Goodess
Elijah Mitrou-Long,*,28,13,60,0,100,2,1,3,3,5,2,3,3,0,1,11,-9,6,10,0,4,1,1,Bnei_Herzliya,A,8,7,Guy Goodess
Jalen Adams,*,35,21,67,43,0,3,1,4,1,0,1,2,5,0,1,20,-10,6,9,3,7,0,0,Bnei_Herzliya,A,8,7,Guy Goodess
Yotam Hanochi,,15,6,100,0,100,0,1,1,1,1,0,0,1,0,0,7,-12,2,2,0,1,2,2,Bnei_Herzliya,A,8,7,Guy Goodess
Michale Kyser,*,17,8,50,0,100,3,5,8,4,2,0,0,0,1,0,12,10,3,6,0,0,2,2,Bnei_Herzliya,A,8,7,Guy Goodess
Dakarai Tucker,*,35,13,33,27,0,5,1,6,3,0,4,1,2,1,0,10,-8,2,6,3,11,0,0,Bnei_Herzliya,A,8,7,Guy Goodess
Idan Zalmanson,,17,5,50,0,50,1,2,3,3,4,1,1,2,0,0,7,-13,2,4,0,1,1,2,Bnei_Herzliya,A,8,7,Guy Goodess
Netanel Artzi,*,29,10,29,33,75,2,2,4,3,4,2,1,1,0,1,8,-2,2,7,1,3,3,4,Bnei_Herzliya,A,8,7,Guy Goodess
Yiftach Ziv,,24,4,33,0,100,4,1,5,3,2,2,2,0,0,1,2,-1,1,3,0,3,2,2,Bnei_Herzliya,A,8,7,Guy Goodess
Total,,200,80,51,23,85,21,14,35,21,18,12,10,14,2,4,78,0,24,47,7,30,11,13,Bnei_Herzliya,A,8,7,Guy Goodess
Team,,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Elijah Mitrou-Long,*,29,11,40,33,80,5,0,5,3,3,0,1,3,0,0,12,-8,2,5,1,3,4,5,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Marcus Bingham Jr.,*,36,10,57,0,50,6,2,8,2,4,1,3,1,4,0,15,-3,4,7,0,3,2,4,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Jalen Adams,*,35,16,83,25,0,5,0,5,4,2,0,5,3,0,1,9,-8,5,6,2,8,0,0,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Michale Kyser,*,27,10,57,0,67,6,0,6,2,3,1,1,0,1,0,14,-3,4,7,0,0,2,3,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Idan Zalmanson,,15,8,50,100,0,3,0,3,2,1,0,1,0,0,0,8,2,1,2,2,2,0,0,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Netanel Artzi,*,28,5,50,33,0,2,3,5,4,0,1,1,1,0,2,2,0,1,2,1,3,0,0,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Eliad Tal,,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-1,4,0,0,0,1,0,0,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Yiftach Ziv,,28,8,20,25,75,3,0,3,2,9,2,2,4,0,0,14,-4,1,5,1,4,3,4,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Total,,200,68,53,29,69,32,7,39,20,22,5,14,12,5,3,76,0,18,34,7,24,11,16,Hapoel_Tel-Aviv,H,7,6,Guy Goodess
Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel_Jerusalem,A,4,3,Guy Goodess
Elijah Mitrou-Long,*,25,6,0,40,0,3,1,4,2,0,0,3,2,0,1,0,-22,0,3,2,5,0,0,Hapoel_Jerusalem,A,4,3,Guy Goodess
Marcus Bingham Jr.,*,32,21,100,75,67,5,2,7,1,5,1,2,2,1,0,31,-26,4,4,3,4,4,6,Hapoel_Jerusalem,A,4,3,Guy Goodess
Jalen Adams,*,31,17,55,14,100,2,0,2,3,2,1,0,3,0,3,8,-13,6,11,1,7,2,2,Hapoel_Jerusalem,A,4,3,Guy Goodess
Dakarai Tucker,,24,2,100,0,0,0,0,0,1,1,0,2,1,0,0,-1,-12,1,1,0,2,0,0,Hapoel_Jerusalem,A,4,3,Guy Goodess
Idan Zalmanson,*,22,7,60,0,100,3,0,3,2,2,1,2,0,1,0,7,-9,3,5,0,1,1,1,Hapoel_Jerusalem,A,4,3,Guy Goodess
Netanel Artzi,,17,2,50,0,0,1,0,1,0,2,1,2,0,0,0,-3,-13,1,2,0,3,0,3,Hapoel_Jerusalem,A,4,3,Guy Goodess
Niv Misgav,*,26,4,50,0,0,1,1,2,4,1,1,1,6,0,0,5,-12,2,4,0,2,0,0,Hapoel_Jerusalem,A,4,3,Guy Goodess
Yiftach Ziv,,23,7,20,33,100,5,0,5,3,4,1,1,1,0,1,7,-18,1,5,1,3,2,2,Hapoel_Jerusalem,A,4,3,Guy Goodess
Total,,200,66,51,26,64,21,7,28,16,17,6,13,15,2,5,58,0,18,35,7,27,9,14,Hapoel_Jerusalem,A,4,3,Guy Goodess
Team,,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Elijah Mitrou-Long,*,31,16,36,25,71,3,0,3,3,6,1,0,5,0,0,16,12,4,11,1,4,5,7,Bnei_Herzliya,H,16,16,Guy Kaplan
Mike Davis Jr.,*,33,28,75,64,100,5,3,8,3,4,2,2,2,2,0,36,13,3,4,7,11,1,1,Bnei_Herzliya,H,16,16,Guy Kaplan
Jalen Adams,,20,5,50,25,0,1,1,2,0,0,1,6,2,0,0,0,-5,1,2,1,4,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Michale Kyser,,26,6,60,0,0,0,2,2,2,3,0,3,0,2,0,6,5,3,5,0,0,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Dakarai Tucker,*,26,6,0,40,0,3,1,4,2,0,0,0,3,2,0,9,16,0,1,2,5,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Idan Zalmanson,*,13,8,100,0,0,3,2,5,2,0,1,3,1,0,0,10,2,4,4,0,0,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Netanel Artzi,*,33,13,100,67,50,6,1,7,2,2,1,1,0,0,0,18,15,3,3,2,3,1,2,Bnei_Herzliya,H,16,16,Guy Kaplan
Eliad Tal,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,3,0,0,0,0,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Yiftach Ziv,,15,2,33,0,0,5,0,5,1,3,0,2,4,0,1,8,4,1,3,0,0,0,0,Bnei_Herzliya,H,16,16,Guy Kaplan
Total,,200,84,58,48,70,28,10,38,15,18,6,19,17,6,1,103,0,19,33,13,27,7,10,Bnei_Herzliya,H,16,16,Guy Kaplan
Team,,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Elijah Mitrou-Long,*,31,16,67,50,100,3,1,4,3,4,3,4,9,0,0,25,13,4,6,2,4,2,2,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Mike Davis Jr.,,19,12,0,57,0,0,2,2,4,2,0,1,1,0,2,5,-2,0,2,4,7,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Jalen Adams,*,33,23,29,60,50,3,0,3,2,4,2,2,3,0,1,20,-7,2,7,6,10,1,2,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Yotam Hanochi,*,10,0,0,0,0,0,1,1,2,2,0,1,1,0,0,-2,9,0,2,0,1,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Michale Kyser,*,21,4,40,0,0,2,2,4,1,0,1,1,2,1,0,7,-2,2,5,0,0,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Dakarai Tucker,,20,6,0,50,0,1,1,2,2,1,0,0,2,0,0,7,-8,0,0,2,4,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Idan Zalmanson,,19,2,50,0,0,3,1,4,1,0,1,1,1,0,0,3,-4,1,2,0,2,0,0,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Netanel Artzi,,26,11,0,75,100,3,0,3,0,1,0,1,0,0,0,13,-17,0,0,3,4,2,2,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Yiftach Ziv,*,21,5,33,0,50,4,1,5,5,2,0,1,5,0,0,5,-12,2,6,0,1,1,2,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Total,,200,79,37,52,75,20,11,31,20,16,7,13,24,1,3,85,0,11,30,17,33,6,8,Hapoel_Jerusalem,H,15,15,Guy Kaplan
Team,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-3,0,0,0,0,0,0,0,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Marcus Bingham Jr.,*,35,9,50,0,75,9,3,12,0,6,0,0,2,0,0,23,0,3,6,0,2,3,4,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Jalen Adams,*,28,14,83,12,100,3,1,4,5,2,0,3,1,0,0,5,8,5,6,1,8,1,1,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Michale Kyser,*,11,2,50,0,0,1,1,2,1,0,1,0,1,1,0,5,-5,1,2,0,0,0,0,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Dakarai Tucker,*,36,9,33,100,50,1,0,1,1,1,1,1,3,1,1,10,-3,1,3,2,2,1,2,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Idan Zalmanson,,10,5,50,0,50,0,0,0,1,1,0,1,0,0,0,1,4,2,4,0,0,1,2,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Netanel Artzi,,22,11,0,60,100,4,0,4,4,1,1,1,0,0,0,9,13,0,1,3,5,2,2,Hapoel_Galil_Elion,A,3,2,Guy Goodess
Eliad Tal,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,Hapoel_Galil_Elion,A,3,2,Guy Goodess
