player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Tyler Bey,*,36,29,70,50,50,5,1,6,3,4,4,6,1,0,0,25,-12,7,10,4,8,3,6,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Willy Workman,,9,2,100,0,0,0,0,0,0,1,1,1,1,0,0,3,-13,1,1,0,1,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Ben Amar,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Deandre Pinckney,*,20,9,60,0,100,3,2,5,3,2,0,1,0,1,0,11,-2,3,5,0,0,3,3,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Rotem Ovadia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Kenny Boynton,*,28,7,0,33,50,0,0,0,1,2,1,3,2,0,0,3,-16,0,0,2,6,1,2,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Daniel Rosenbaum,*,33,6,0,50,0,4,0,4,2,1,2,1,1,0,0,7,-20,0,2,2,4,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Cameron Young,*,33,12,33,40,80,2,0,2,2,5,1,5,5,1,0,13,2,1,3,2,5,4,5,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Itay Shneider,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Amit Gershon,,30,16,75,50,100,0,0,0,4,4,1,3,4,0,0,15,-10,3,4,2,4,4,4,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Alex Sobel,,8,5,100,0,100,3,0,3,4,1,0,2,0,1,0,4,-6,2,2,0,0,1,1,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Total,,200,86,63,43,76,21,5,26,19,20,10,22,15,3,0,88,0,17,27,12,28,16,21,Ironi_Kiryat_Ata,H,4,3,Elad Hasin
Team,,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Tyler Bey,*,20,3,0,33,0,5,0,5,1,1,2,3,1,0,0,4,-11,0,2,1,3,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Willy Workman,*,29,2,25,0,0,4,2,6,3,1,3,2,0,0,0,4,-20,1,4,0,0,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Tal Zvi Bar Hama,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Deandre Pinckney,*,29,16,67,0,100,3,4,7,3,5,1,4,0,1,1,14,-19,6,9,0,5,4,4,Hapoel_Jerusalem,H,6,5,Elad Hasin
Rotem Ovadia,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,0,0,0,0,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Kenny Boynton,*,34,16,50,30,100,2,0,2,1,4,0,1,1,0,0,11,-21,3,6,3,10,1,1,Hapoel_Jerusalem,H,6,5,Elad Hasin
Daniel Rosenbaum,,23,5,50,50,0,4,0,4,4,0,2,3,0,0,0,2,0,1,2,1,2,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Cameron Young,,15,8,14,0,100,4,0,4,2,6,1,0,0,0,0,11,-7,1,7,0,0,6,6,Hapoel_Jerusalem,H,6,5,Elad Hasin
Itay Shneider,,2,2,0,0,100,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,2,Hapoel_Jerusalem,H,6,5,Elad Hasin
Amit Gershon,*,24,0,0,0,0,1,0,1,2,1,0,1,3,0,0,-6,-22,0,2,0,6,0,0,Hapoel_Jerusalem,H,6,5,Elad Hasin
Gil Noyovitch,,10,2,0,0,100,1,0,1,2,2,2,1,3,0,0,7,-5,0,0,0,0,2,2,Hapoel_Jerusalem,H,6,5,Elad Hasin
Alex Sobel,,12,7,67,0,43,3,1,4,4,3,0,0,1,1,1,6,-6,2,3,0,0,3,7,Hapoel_Jerusalem,H,6,5,Elad Hasin
Total,,200,61,39,19,82,29,8,37,23,24,11,16,9,2,2,56,0,14,36,5,26,18,22,Hapoel_Jerusalem,H,6,5,Elad Hasin
Team,,0,0,0,0,0,2,2,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Afula,A,10,10,Roee Perl
Tyler Bey,*,32,22,47,0,86,5,4,9,1,10,4,4,2,0,1,29,-18,8,17,0,2,6,7,Hapoel_Afula,A,10,10,Roee Perl
Willy Workman,*,28,12,57,50,100,6,4,10,1,1,2,0,1,1,1,21,-4,4,7,1,2,1,1,Hapoel_Afula,A,10,10,Roee Perl
Deandre Pinckney,,13,3,0,20,0,5,2,7,2,1,0,0,1,0,0,5,3,0,1,1,5,0,0,Hapoel_Afula,A,10,10,Roee Perl
Daniel Rosenbaum,*,24,0,0,0,0,2,1,3,4,5,0,1,0,0,0,-2,-24,0,1,0,4,0,0,Hapoel_Afula,A,10,10,Roee Perl
Jon Davis,*,23,7,50,20,0,0,0,0,3,0,0,3,5,1,0,1,-14,2,4,1,5,0,0,Hapoel_Afula,A,10,10,Roee Perl
Amit Gershon,,35,13,0,33,100,3,1,4,3,2,4,4,3,0,0,10,1,0,3,3,9,4,4,Hapoel_Afula,A,10,10,Roee Perl
JaKeenan Gant,*,32,12,57,14,50,2,3,5,1,1,0,1,2,1,1,8,-9,4,7,1,7,1,2,Hapoel_Afula,A,10,10,Roee Perl
Gil Noyovitch,,12,5,100,25,0,0,3,3,4,1,0,0,1,0,0,3,9,1,1,1,4,0,0,Hapoel_Afula,A,10,10,Roee Perl
