player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Ricky Lindo,*,30,15,75,0,50,6,3,9,4,4,1,1,1,2,0,19,-1,6,8,0,3,3,6,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Darnell Edge,*,26,13,33,43,100,1,1,2,1,2,3,3,1,0,0,11,-19,1,3,3,7,2,2,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Bryce Brown,*,34,9,33,11,50,6,1,7,4,3,2,2,10,0,0,11,-7,1,3,1,9,4,8,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Jake Van Tubbergen,,30,12,57,0,80,4,0,4,4,4,3,3,2,1,0,14,1,4,7,0,1,4,5,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Tomer Levinson,,7,2,100,0,0,1,0,1,2,0,0,0,0,0,0,1,-4,1,1,0,0,0,0,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Tzuf Ben Moshe,*,26,8,0,50,100,2,4,6,4,2,2,0,1,0,0,9,0,0,4,2,4,2,2,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Itay Segev,*,26,12,62,0,67,3,2,5,2,4,0,2,0,0,0,13,-1,5,8,0,0,2,3,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Yair Kravitz,,21,10,40,25,60,1,3,4,5,3,0,1,4,0,1,6,11,2,5,1,4,3,5,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Total,,200,81,51,25,65,26,14,40,26,22,11,12,19,3,1,86,0,20,39,7,28,20,31,Maccabi_Tel-Aviv,A,2,2,Amit Schaerf
Team,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hapoel_Holon,A,6,6,Amit Schaerf
Ricky Lindo,*,38,19,75,44,25,9,0,9,2,4,2,2,3,2,0,26,-1,3,4,4,9,1,4,Hapoel_Holon,A,6,6,Amit Schaerf
Darnell Edge,,23,11,67,33,0,2,2,4,3,1,0,3,0,0,1,5,-9,4,6,1,3,0,0,Hapoel_Holon,A,6,6,Amit Schaerf
Bryce Brown,*,32,22,50,44,100,6,0,6,2,3,1,2,4,0,2,22,3,3,6,4,9,4,4,Hapoel_Holon,A,6,6,Amit Schaerf
Jake Van Tubbergen,*,30,19,58,50,100,4,1,5,2,1,2,1,0,0,0,18,0,7,12,1,2,2,2,Hapoel_Holon,A,6,6,Amit Schaerf
Tomer Levinson,,10,0,0,0,0,0,3,3,1,0,0,1,3,0,0,4,-9,0,0,0,0,0,0,Hapoel_Holon,A,6,6,Amit Schaerf
Alon Druker,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,Hapoel_Holon,A,6,6,Amit Schaerf
Tzuf Ben Moshe,*,27,4,0,25,50,5,2,7,2,1,1,1,4,0,0,10,-1,0,0,1,4,1,2,Hapoel_Holon,A,6,6,Amit Schaerf
Ryan Turell,,12,6,100,33,25,1,1,2,1,3,0,0,0,0,0,5,-7,1,1,1,3,1,4,Hapoel_Holon,A,6,6,Amit Schaerf
Yair Kravitz,*,27,4,40,0,0,0,0,0,5,1,1,0,5,0,1,-1,-3,2,5,0,3,0,0,Hapoel_Holon,A,6,6,Amit Schaerf
Total,,200,85,59,36,56,27,10,37,18,14,7,11,19,2,4,89,0,20,34,12,33,9,16,Hapoel_Holon,A,6,6,Amit Schaerf
Team,,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Bnei_Herzliya,A,12,12,Amit Schaerf
Ricky Lindo,*,32,11,67,0,100,5,2,7,4,2,1,0,5,2,0,22,4,4,6,0,0,3,3,Bnei_Herzliya,A,12,12,Amit Schaerf
Darnell Edge,*,34,13,33,43,0,3,0,3,2,1,1,3,4,0,0,9,2,2,6,3,7,0,0,Bnei_Herzliya,A,12,12,Amit Schaerf
Bryce Brown,*,33,21,33,30,89,0,0,0,2,8,1,3,1,0,0,14,-5,2,6,3,10,8,9,Bnei_Herzliya,A,12,12,Amit Schaerf
Tzuf Ben Moshe,*,17,4,100,0,0,0,1,1,2,0,0,3,1,0,0,-2,-5,2,2,0,3,0,0,Bnei_Herzliya,A,12,12,Amit Schaerf
Itay Segev,,28,10,50,0,33,8,7,15,3,5,0,0,1,0,1,19,-5,4,8,0,0,2,6,Bnei_Herzliya,A,12,12,Amit Schaerf
Ryan Turell,,24,11,67,50,50,4,1,5,2,3,3,2,1,0,0,15,-1,2,3,2,4,1,2,Bnei_Herzliya,A,12,12,Amit Schaerf
Yair Kravitz,,19,6,25,33,50,3,0,3,5,1,1,3,1,0,1,-3,10,1,4,1,3,1,2,Bnei_Herzliya,A,12,12,Amit Schaerf
Jerome Meyinsse,*,13,10,67,0,67,2,0,2,5,6,0,0,3,1,0,13,10,4,6,0,1,2,3,Bnei_Herzliya,A,12,12,Amit Schaerf
Total,,200,86,51,32,68,27,14,41,25,26,7,14,17,3,2,92,0,21,41,9,28,17,25,Bnei_Herzliya,A,12,12,Amit Schaerf
Team,,0,0,0,0,0,4,3,7,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Darnell Edge,*,28,11,67,50,0,4,1,5,3,1,0,1,7,0,0,17,-28,4,6,1,2,0,0,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Bryce Brown,*,30,20,40,29,83,2,0,2,2,7,1,3,4,0,0,19,-12,2,5,2,7,10,12,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Jake Van Tubbergen,*,32,12,40,50,83,1,2,3,4,4,0,1,1,0,0,10,-25,2,5,1,2,5,6,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Tomer Levinson,,20,5,50,20,0,0,0,0,3,1,1,0,0,0,0,-1,-3,1,2,1,5,0,0,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Alon Druker,,9,3,0,100,0,0,0,0,1,0,0,0,0,0,0,2,-4,0,0,1,1,0,0,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Tzuf Ben Moshe,*,26,6,0,33,0,1,2,3,2,1,0,1,0,0,0,1,-14,0,2,2,6,0,0,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
