player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Chris Smith,,23,4,29,0,0,6,3,9,1,3,0,2,0,1,0,4,-18,2,7,0,3,0,2,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Akia Pruitt,*,36,7,43,0,50,4,1,5,2,1,1,1,4,2,1,9,-21,3,7,0,2,1,2,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Yuval Levin,,3,2,100,0,0,1,0,1,0,0,0,0,0,0,0,3,-6,1,1,0,0,0,0,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Raz Adam,*,29,12,17,60,33,3,0,3,3,6,1,4,2,0,0,8,-13,1,6,3,5,1,3,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Silvio De Sousa,*,21,6,40,0,100,4,1,5,3,1,0,3,0,0,0,3,-7,2,5,0,0,2,2,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Gal Baitner,,7,2,50,0,0,0,0,0,2,0,0,0,1,0,0,0,-4,1,2,0,0,0,0,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
JJ Kaplan,*,32,10,0,60,100,4,0,4,2,1,0,2,2,1,1,10,-18,0,1,3,5,1,1,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Chavaughn Lewis,*,31,16,45,33,50,3,1,4,2,5,1,1,5,1,1,17,-14,5,11,1,3,3,6,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Yuval Sznaiderman,,18,7,100,100,50,0,0,0,4,4,2,2,4,0,0,9,-14,1,1,1,1,2,4,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Total,,200,66,39,42,50,27,9,36,19,21,5,15,18,5,3,68,0,16,41,8,19,10,20,Hapoel_Jerusalem,A,3,3,Eldad Bentov 
Team,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Chris Smith,*,34,19,70,50,100,3,5,8,4,2,0,4,5,0,0,22,4,7,10,1,2,2,2,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Akia Pruitt,*,31,9,67,0,100,3,1,4,1,2,1,1,1,1,0,11,5,4,6,0,3,1,1,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Yuval Levin,,3,1,0,0,50,0,0,0,1,1,1,0,1,0,0,2,9,0,0,0,0,1,2,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Raz Adam,*,31,13,22,40,60,5,1,6,3,6,3,1,5,0,2,15,2,2,9,2,5,3,5,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Silvio De Sousa,*,21,11,43,0,83,4,2,6,2,4,0,0,0,0,0,14,-22,3,7,0,0,5,6,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Gal Baitner,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
JJ Kaplan,,22,18,83,67,67,4,3,7,4,2,1,0,2,0,0,23,4,5,6,2,3,2,3,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Chavaughn Lewis,*,35,22,33,67,100,3,1,4,4,6,4,4,5,0,1,23,2,4,12,2,3,8,8,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Yuval Sznaiderman,,22,2,0,0,100,2,2,4,5,3,1,2,3,1,0,0,-11,0,3,0,4,2,2,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Total,,200,95,47,35,83,25,15,40,24,26,11,13,22,2,3,110,0,25,53,7,20,24,29,Hapoel_Tel-Aviv,A,6,6,Eldad Bentov 
Team,,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Gilboa_Galil,A,9,9,Eldad Bentov 
Chris Smith,*,25,7,43,0,50,4,3,7,3,3,0,1,1,1,1,7,-27,3,7,0,2,1,2,Gilboa_Galil,A,9,9,Eldad Bentov 
Liam O'Reilly,,27,7,40,17,0,2,0,2,5,3,1,3,2,0,1,-2,-18,2,5,1,6,0,0,Gilboa_Galil,A,9,9,Eldad Bentov 
Akia Pruitt,*,34,13,71,14,0,5,4,9,3,2,0,2,2,1,1,11,-23,5,7,1,7,0,2,Gilboa_Galil,A,9,9,Eldad Bentov 
Yuval Levin,,8,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-4,-12,0,1,0,2,0,0,Gilboa_Galil,A,9,9,Eldad Bentov 
Gal Baitner,,9,2,0,0,100,0,0,0,3,1,0,2,1,0,0,-1,-11,0,0,0,0,2,2,Gilboa_Galil,A,9,9,Eldad Bentov 
JJ Kaplan,*,30,8,0,40,100,2,1,3,1,1,2,3,3,0,0,5,-16,0,5,2,5,2,2,Gilboa_Galil,A,9,9,Eldad Bentov 
Yariv Amiram,,14,3,33,0,50,4,2,6,0,2,0,0,1,0,0,9,8,1,3,0,0,1,2,Gilboa_Galil,A,9,9,Eldad Bentov 
Chavaughn Lewis,*,33,16,50,0,86,2,3,5,4,8,2,6,1,0,0,12,-17,5,10,0,4,6,7,Gilboa_Galil,A,9,9,Eldad Bentov 
Yuval Sznaiderman,*,20,4,100,0,100,2,0,2,3,2,2,1,0,0,0,4,-9,1,1,0,2,2,2,Gilboa_Galil,A,9,9,Eldad Bentov 
Total,,200,60,44,14,74,23,14,37,24,22,8,18,11,2,4,43,0,17,39,4,28,14,19,Gilboa_Galil,A,9,9,Eldad Bentov 
Team,,0,0,0,0,0,3,1,4,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Chris Smith,*,32,18,42,20,83,5,3,8,3,5,3,2,2,1,1,19,-3,5,12,1,5,5,6,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Liam O'Reilly,*,36,15,0,62,0,5,0,5,2,1,0,3,8,0,2,15,-7,0,4,5,8,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Akia Pruitt,,26,15,75,75,0,3,1,4,2,0,1,1,1,0,0,16,1,3,4,3,4,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Yuval Levin,,6,4,100,0,0,0,1,1,0,0,0,0,0,0,0,5,-3,2,2,0,0,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Silvio De Sousa,*,32,16,58,0,50,7,6,13,4,2,0,3,1,1,1,18,-10,7,12,0,0,2,4,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Gal Baitner,*,17,0,0,0,0,1,0,1,2,1,1,4,0,0,0,-6,-8,0,1,0,2,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
JJ Kaplan,*,34,7,50,25,0,1,3,4,4,4,1,2,3,0,1,7,-7,2,4,1,4,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Yariv Amiram,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Yuval Sznaiderman,,14,2,100,0,0,0,0,0,1,3,2,4,1,0,0,-2,-7,1,1,0,3,0,2,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Total,,200,77,50,38,58,25,15,40,19,16,9,20,16,2,5,75,0,20,40,10,26,7,12,Be'er_Sheva_Dimona,A,10,10,Eldad Bentov 
Team,,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
Chris Smith,*,26,13,62,50,0,2,2,4,5,1,2,4,2,0,0,9,12,5,8,1,2,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
Akia Pruitt,*,34,8,100,33,50,7,5,12,3,3,0,3,5,1,0,20,11,2,2,1,3,1,2,Bnei_Herzliya,H,5,5,Eldad Bentov 
Yuval Levin,,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
Roee Nanikashvili,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
Ziv Bellaiche,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
Raz Adam,*,25,11,67,0,70,3,0,3,3,7,1,2,4,0,0,12,9,2,3,0,5,7,10,Bnei_Herzliya,H,5,5,Eldad Bentov 
Silvio De Sousa,*,26,19,50,0,50,5,8,13,2,3,0,1,0,0,2,20,11,9,18,0,0,1,2,Bnei_Herzliya,H,5,5,Eldad Bentov 
Gal Baitner,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bnei_Herzliya,H,5,5,Eldad Bentov 
