player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Galil_Elion,H,7,5,Oded Katash
Jaylen Hoard,*,24,4,29,0,0,4,3,7,1,0,3,2,3,0,0,9,9,2,7,0,0,0,0,Hapoel_Galil_Elion,H,7,5,Oded Katash
Rafi Menco,*,23,8,0,67,100,4,3,7,2,2,0,1,1,0,0,10,7,0,4,2,3,2,2,Hapoel_Galil_Elion,H,7,5,Oded Katash
Roman Sorkin,*,17,11,67,67,100,2,1,3,2,1,0,1,0,0,0,10,9,2,3,2,3,1,1,Hapoel_Galil_Elion,H,7,5,Oded Katash
Omer Mayer,,21,6,100,0,67,0,1,1,2,2,0,2,3,0,0,5,-2,2,2,0,2,2,3,Hapoel_Galil_Elion,H,7,5,Oded Katash
Will Rayman,,15,2,100,0,0,1,1,2,2,0,0,0,0,0,0,0,10,1,1,0,2,0,0,Hapoel_Galil_Elion,H,7,5,Oded Katash
John Dibartolomeo,,18,10,0,60,100,4,0,4,2,4,0,0,0,0,0,12,-5,0,2,3,5,1,1,Hapoel_Galil_Elion,H,7,5,Oded Katash
Jasiel Rivero,,15,4,50,0,0,1,0,1,0,1,1,0,0,0,0,5,18,2,4,0,0,0,0,Hapoel_Galil_Elion,H,7,5,Oded Katash
Jake Cohen,,11,0,0,0,0,4,0,4,1,0,0,1,3,0,0,4,-3,0,0,0,1,0,0,Hapoel_Galil_Elion,H,7,5,Oded Katash
Levi Randolph,*,22,18,50,50,50,1,0,1,2,3,0,1,1,0,0,12,16,4,8,3,6,1,2,Hapoel_Galil_Elion,H,7,5,Oded Katash
Rokas Jokubaitis,*,19,6,33,0,100,1,0,1,1,2,2,0,5,0,0,11,15,2,6,0,0,2,2,Hapoel_Galil_Elion,H,7,5,Oded Katash
Wenyen Gabriel,,15,4,50,0,0,4,0,4,2,3,0,3,0,0,0,2,-9,2,4,0,1,0,1,Hapoel_Galil_Elion,H,7,5,Oded Katash
Total,,200,73,41,43,75,27,11,38,17,18,6,11,16,0,0,83,0,17,41,10,23,9,12,Hapoel_Galil_Elion,H,7,5,Oded Katash
Team,,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Rafi Menco,*,28,10,67,33,0,6,3,9,3,1,1,2,1,0,0,12,10,2,3,2,6,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Roman Sorkin,*,21,10,80,0,100,4,0,4,3,2,0,1,2,0,0,8,16,4,5,0,5,2,2,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Omer Mayer,,19,11,100,50,100,2,0,2,2,2,0,2,3,0,0,13,8,2,2,1,2,4,4,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Will Rayman,,19,6,100,0,0,1,0,1,3,1,0,0,0,0,0,2,2,3,3,0,3,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
John Dibartolomeo,,24,9,0,38,0,2,0,2,3,2,2,3,3,0,0,7,-2,0,0,3,8,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Jasiel Rivero,*,17,2,25,0,0,4,2,6,0,2,1,0,2,1,1,10,21,1,4,0,0,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Jake Cohen,,28,4,40,0,0,4,1,5,1,0,0,1,5,1,0,8,-2,2,5,0,2,0,0,Be'er_Sheva_Dimona,H,5,4,Oded Katash
Levi Randolph,*,15,10,80,0,100,2,0,2,1,2,1,0,3,0,1,14,14,4,5,0,1,2,2,Be'er_Sheva_Dimona,H,5,4,Oded Katash
