player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Amin Stevens,*,32,21,56,0,75,7,3,10,1,4,1,3,1,1,0,26,1,9,16,0,0,3,4,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Dori Sahar,*,14,2,100,0,0,0,0,0,2,1,0,0,0,0,0,1,-10,1,1,0,0,0,0,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Kendale McCullum,*,35,16,50,40,100,1,0,1,2,3,0,2,6,0,0,16,-3,3,6,2,5,4,4,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Yahel Melamed,,12,0,0,0,0,2,0,2,1,0,0,1,0,0,0,-2,-7,0,1,0,1,0,0,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Roi Huber,,31,7,33,17,0,2,0,2,3,0,1,1,5,0,1,1,-6,2,6,1,6,0,0,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Isaiah Miles,*,28,10,100,25,100,3,1,4,2,2,0,1,1,0,0,11,-2,2,2,1,4,3,3,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Benaya Srur,,10,2,50,0,0,4,0,4,3,3,0,1,1,2,0,5,-11,1,2,0,0,0,2,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Roberto Gallinat,*,38,24,70,25,100,4,0,4,2,3,2,3,2,0,2,22,-7,7,10,1,4,7,7,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Total,,200,82,57,25,85,28,7,35,16,16,4,12,16,3,3,88,0,25,44,5,20,17,20,Hapoel_Tel-Aviv,H,1,10,Shmulik Brenner
Team,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Bnei_Herzliya,A,4,3,Shmulik Brenner
Amin Stevens,*,27,14,33,0,67,1,6,7,1,5,1,3,1,0,1,12,-13,4,12,0,0,6,9,Bnei_Herzliya,A,4,3,Shmulik Brenner
Dori Sahar,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,Bnei_Herzliya,A,4,3,Shmulik Brenner
Kendale McCullum,*,32,20,25,60,71,2,2,4,4,8,4,2,4,0,0,21,-4,3,12,3,5,5,7,Bnei_Herzliya,A,4,3,Shmulik Brenner
Adam Ariel,*,32,12,100,40,40,4,1,5,2,4,1,0,0,0,0,14,-7,2,2,2,5,2,5,Bnei_Herzliya,A,4,3,Shmulik Brenner
Yahel Melamed,*,21,4,67,0,0,1,2,3,2,0,2,0,3,0,0,8,14,2,3,0,1,0,0,Bnei_Herzliya,A,4,3,Shmulik Brenner
Roi Huber,,22,11,0,60,100,2,0,2,4,2,1,3,3,0,1,6,2,0,3,3,5,2,2,Bnei_Herzliya,A,4,3,Shmulik Brenner
Drew Crawford,,26,8,100,0,0,2,1,3,4,0,1,1,1,0,0,7,-2,4,4,0,1,0,0,Bnei_Herzliya,A,4,3,Shmulik Brenner
Benaya Srur,,12,2,50,0,0,3,1,4,3,0,0,1,0,0,1,0,11,1,2,0,0,0,0,Bnei_Herzliya,A,4,3,Shmulik Brenner
Roberto Gallinat,*,27,15,40,50,67,3,0,3,5,5,1,3,2,0,0,11,-5,2,5,3,6,2,3,Bnei_Herzliya,A,4,3,Shmulik Brenner
Total,,200,86,42,48,65,18,15,33,25,24,11,13,14,0,3,81,0,18,43,11,23,17,26,Bnei_Herzliya,A,4,3,Shmulik Brenner
Team,,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,Hapoel_Holon,H,11,9,Shmulik Brenner
Amin Stevens,*,26,27,71,0,64,5,1,6,5,7,0,5,1,0,0,23,-4,10,14,0,0,7,11,Hapoel_Holon,H,11,9,Shmulik Brenner
Dori Sahar,,17,6,0,67,0,2,0,2,3,0,1,0,0,0,0,5,1,0,0,2,3,0,0,Hapoel_Holon,H,11,9,Shmulik Brenner
Omer Poleg,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-3,0,0,0,0,0,0,Hapoel_Holon,H,11,9,Shmulik Brenner
Kendale McCullum,*,33,23,73,0,100,1,0,1,1,10,3,5,12,0,0,40,10,8,11,0,0,7,7,Hapoel_Holon,H,11,9,Shmulik Brenner
Adam Ariel,*,23,0,0,0,0,4,0,4,1,2,0,0,2,0,0,4,-5,0,1,0,2,0,0,Hapoel_Holon,H,11,9,Shmulik Brenner
Roi Huber,,21,10,0,43,50,1,0,1,3,1,0,3,4,0,0,4,1,0,1,3,7,1,2,Hapoel_Holon,H,11,9,Shmulik Brenner
Isaiah Miles,*,33,15,50,33,88,7,2,9,2,4,1,0,0,0,0,21,5,1,2,2,6,7,8,Hapoel_Holon,H,11,9,Shmulik Brenner
Drew Crawford,*,34,5,67,0,50,4,0,4,2,1,1,0,1,0,0,5,-3,2,3,0,3,1,2,Hapoel_Holon,H,11,9,Shmulik Brenner
Benaya Srur,,12,4,100,0,0,4,3,7,5,1,0,3,1,0,0,3,8,2,2,0,0,0,2,Hapoel_Holon,H,11,9,Shmulik Brenner
Total,,200,90,68,33,72,28,7,35,24,26,6,17,21,0,0,103,0,23,34,7,21,23,32,Hapoel_Holon,H,11,9,Shmulik Brenner
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,8,6,Shmulik Brenner
Amin Stevens,*,32,22,82,0,80,4,2,6,3,5,2,4,1,0,0,26,-1,9,11,0,0,4,5,Maccabi_Tel-Aviv,A,8,6,Shmulik Brenner
